City,Lat,Long,country,iso2,State
Kumbakonam,10.959789,79.377472,India,IN,tamil nadu
Kurnool,15.828865,78.036021,India,IN,andhra pradesh
Latur,18.399487,76.584252,India,IN,maharashtra
Lucknow,26.839281,80.923133,India,IN,uttar pradesh
Ludhiana,30.912042,75.853789,India,IN,punjab
Machilipatnam,16.187466,81.13888,India,IN,andhra pradesh
Madurai,9.917347,78.119622,India,IN,tamil nadu
Mahabubnagar,16.75,78.0,India,IN,telangana
Malegaon Camp,20.569974,74.515415,India,IN,maharashtra
Mangalore,12.865371,74.842432,India,IN,karnataka
Mathura,27.503501,77.672145,India,IN,uttar pradesh
Meerut,28.980018,77.706356,India,IN,uttar pradesh
Mirzapur,25.144902,82.565335,India,IN,uttar pradesh
Moradabad,28.838931,78.776838,India,IN,uttar pradesh
Mumbai,18.987807,72.836447,India,IN,maharashtra
Muzaffarnagar,29.470914,77.703324,India,IN,uttar pradesh
Muzaffarpur,26.122593,85.390553,India,IN,bihar
Mysore,12.292664,76.638543,India,IN,karnataka
Nagercoil,8.177313,77.43437,India,IN,tamil nadu
Nalgonda,17.05,79.27,India,IN,telangana
Nanded,19.160227,77.314971,India,IN,maharashtra
Nandyal,15.477994,78.483605,India,IN,andhra pradesh
Nasik,19.999963,73.776887,India,IN,maharashtra
Navsari,20.85,72.916667,India,IN,gujarat
Nellore,14.449918,79.986967,India,IN,andhra pradesh
New Delhi,28.6,77.2,India,IN,delhi
Nizamabad,18.673151,78.10008,India,IN,telangana
Ongole,15.503565,80.044541,India,IN,andhra pradesh
Pali,25.775125,73.320611,India,IN,rajasthan
Panaji,15.498289,73.824541,India,IN,goa
Panchkula,30.691512,76.853736,India,IN,haryana
Panipat,29.387471,76.968246,India,IN,haryana
Parbhani,19.268553,76.770807,India,IN,maharashtra
Pathankot,32.274842,75.652865,India,IN,punjab
Patiala,30.336245,76.392199,India,IN,punjab
Patna,25.615379,85.101027,India,IN,bihar
Pilibhit,28.631245,79.804362,India,IN,uttar pradesh
Porbandar,21.641346,69.600868,India,IN,gujarat
Port Blair,11.666667,92.75,India,IN,andaman and nicobar islands
Proddatur,14.7502,78.548129,India,IN,andhra pradesh
Puducherry,11.933812,79.829792,India,IN,puducherry
Pune,18.513271,73.849852,India,IN,maharashtra
Puri,19.798254,85.824938,India,IN,odisha
Purnea,25.776703,87.473655,India,IN,bihar
Raichur,16.205459,77.35567,India,IN,karnataka
Raipur,21.233333,81.633333,India,IN,chhattisgarh
Rajahmundry,17.005171,81.777839,India,IN,andhra pradesh
Rajapalaiyam,9.451111,77.556121,India,IN,tamil nadu
Rajkot,22.291606,70.793217,India,IN,gujarat
Ramagundam,18.45,79.28,India,IN,telangana
Rampura,26.884682,75.789336,India,IN,rajasthan
Ranchi,23.347768,85.338564,India,IN,jharkhand
Ratlam,23.330331,75.040315,India,IN,madhya pradesh
Raurkela,22.224964,84.864143,India,IN,odisha
Rohtak,28.894473,76.589166,India,IN,haryana
Saharanpur,29.967896,77.545221,India,IN,uttar pradesh
Saidapur,27.598784,80.75089,India,IN,uttar pradesh
Saidpur,34.318174,74.457093,India,IN,jammu and kashmir
Salem,11.651165,78.158672,India,IN,tamil nadu
Samlaipadar,21.478072,83.990505,India,IN,odisha
Sangli,16.856777,74.569196,India,IN,maharashtra
Saugor,23.838766,78.738738,India,IN,madhya pradesh
Shahbazpur,27.874116,79.879327,India,IN,uttar pradesh
Shiliguri,26.710035,88.428512,India,IN,west bengal
Shillong ,25.573987,91.896807,India,IN,meghalaya
Shimla,31.104423,77.166623,India,IN,himachal pradesh
Shimoga,13.932424,75.572555,India,IN,karnataka
Sikar,27.614778,75.138671,India,IN,rajasthan
Silchar,24.827327,92.797868,India,IN,assam
Silvassa,20.273855,72.996728,India,IN,dadra and nagar haveli
Sirsa,29.534893,75.028981,India,IN,haryana
Sonipat,28.994778,77.019375,India,IN,haryana
Srinagar,34.085652,74.805553,India,IN,jammu and kashmir
Surat,21.195944,72.830232,India,IN,gujarat
Tezpur,26.633333,92.8,India,IN,assam
Thanjavur,10.785233,79.139093,India,IN,tamil nadu
Tharati Etawah,26.758236,79.014875,India,IN,uttar pradesh
Thiruvananthapuram,8.485498,76.949238,India,IN,kerala
Tiruchchirappalli,10.815499,78.696513,India,IN,tamil nadu
Tirunelveli,8.725181,77.684519,India,IN,tamil nadu
Tirupati,13.635505,79.419888,India,IN,andhra pradesh
Tiruvannamalai,12.230204,79.072954,India,IN,tamil nadu
Tonk,26.168672,75.786111,India,IN,rajasthan
Tuticorin,8.805038,78.151884,India,IN,tamil nadu
Udaipur,24.57951,73.690508,India,IN,rajasthan
Ujjain,23.182387,75.776433,India,IN,madhya pradesh
Vadodara,22.299405,73.208119,India,IN,gujarat
Valparai,10.325163,76.955299,India,IN,tamil nadu
Varanasi,25.31774,83.005811,India,IN,uttar pradesh
Vellore,12.905769,79.137104,India,IN,tamil nadu
Vishakhapatnam,17.704052,83.297663,India,IN,andhra pradesh
Vizianagaram,18.11329,83.397743,India,IN,andhra pradesh
Warangal,17.978423,79.600209,India,IN,telangana
Jorapokhar,23.7,86.41267,India,IN,jharkhand
Brajrajnagar,21.82,83.92,India,IN,odisha
Talcher,20.95,85.23,India,IN,odisha
